"","chr","start","end","strand","pvalue","qvalue","meth.diff","nearest_tss","nearest_gene"
"113",17,3830271,3830271,"*",1.3531538282188e-08,7.21292648717258e-08,47.9335130278527,3746536,"ENSMUSG00000023802"
"114",17,3830317,3830317,"*",1.29060870353806e-09,8.7381836669273e-09,47.8135788262371,3746536,"ENSMUSG00000023802"
"118",17,3867590,3867590,"*",6.20971232271632e-05,0.000118734747010798,39.5368072787428,3746536,"ENSMUSG00000023802"
"119",17,3867649,3867649,"*",8.55101008593504e-07,2.86673308513577e-06,41.8299732130269,3746536,"ENSMUSG00000023802"
"120",17,3867682,3867682,"*",4.87477130083588e-07,1.75769255390041e-06,49.3141129969774,3746536,"ENSMUSG00000023802"
"122",17,3867692,3867692,"*",2.06791866509962e-05,4.59676651078096e-05,36.638075080762,3746536,"ENSMUSG00000023802"
"124",17,3867754,3867754,"*",3.24993656343579e-05,6.83213696266363e-05,33.9941972920696,3746536,"ENSMUSG00000023802"
"129",17,3874738,3874738,"*",4.07872280147058e-10,3.06088992520752e-09,40.2967771852539,3746536,"ENSMUSG00000023802"
"132",17,3874834,3874834,"*",0.00012848946025334,0.000222092444082008,34.2647058823529,3746536,"ENSMUSG00000023802"
"134",17,3876507,3876507,"*",1.02600004061793e-18,3.78822705906163e-17,31.8987341772152,3746536,"ENSMUSG00000023802"
"135",17,3876508,3876508,"*",4.07430281376413e-09,2.47422020155017e-08,38.1607865818392,3746536,"ENSMUSG00000023802"
"136",17,3876583,3876583,"*",4.05319977911301e-29,5.47512497188606e-27,34.018516252702,3746536,"ENSMUSG00000023802"
"137",17,3876584,3876584,"*",8.39398944011947e-08,3.66486372121671e-07,29.9163317741617,3746536,"ENSMUSG00000023802"
"138",17,3876668,3876668,"*",9.24450911219605e-08,3.98748180259028e-07,28.9263603779733,3746536,"ENSMUSG00000023802"
"139",17,3876669,3876669,"*",0.000240063532362378,0.000379872653795563,29.9284578696343,3746536,"ENSMUSG00000023802"
"144",17,3877348,3877348,"*",4.58111759407161e-06,1.24006855078601e-05,29.9238982280782,3746536,"ENSMUSG00000023802"
"145",17,3877814,3877814,"*",0.00061436299105446,0.000848834536063383,27.5628324121389,3746536,"ENSMUSG00000023802"
"147",17,3878349,3878349,"*",1.41397396430494e-05,3.31544175340426e-05,31.983109164842,3746536,"ENSMUSG00000023802"
"148",17,3878394,3878394,"*",0.000568747767141416,0.000794431390150102,27.0238095238095,3746536,"ENSMUSG00000023802"
"150",17,3878950,3878950,"*",0.000354732674764452,0.000529550237258435,32.0175438596491,3746536,"ENSMUSG00000023802"
"161",17,3898826,3898826,"*",1.18889998299601e-11,1.23885915614619e-10,31.5508021390374,3746536,"ENSMUSG00000023802"
"164",17,3905884,3905884,"*",6.75167600886819e-06,1.73598423837183e-05,38.4789156626506,3746536,"ENSMUSG00000023802"
"166",17,3972837,3972837,"*",3.00507703145293e-06,8.60111041180551e-06,27.4590852572504,4133270,"ENSMUSG00000116975"
"167",17,3973007,3973007,"*",5.05662282156366e-07,1.81046155639043e-06,28.6900806834362,4133270,"ENSMUSG00000116975"
"170",17,3973162,3973162,"*",1.59404716009217e-05,3.67993149922255e-05,32.192513368984,4133270,"ENSMUSG00000116975"
"179",17,4069153,4069153,"*",0.000345739937024767,0.000518524786924864,32.1078431372549,4133270,"ENSMUSG00000116975"
"181",17,4069223,4069223,"*",0.000266763098624475,0.000416530604045693,28.8395061728395,4133270,"ENSMUSG00000116975"
"187",17,4070143,4070143,"*",0.000462697502702085,0.000664888135617312,27.1710811984368,4133270,"ENSMUSG00000116975"
"189",17,4070153,4070153,"*",2.69585624928395e-06,7.80479757352614e-06,37.7372627372627,4133270,"ENSMUSG00000116975"
"190",17,4070154,4070154,"*",3.55068428116041e-12,4.10112804504509e-11,41.8371711698867,4133270,"ENSMUSG00000116975"
"192",17,4070253,4070253,"*",1.50547882431204e-06,4.7066659679208e-06,25.2647352647353,4133270,"ENSMUSG00000116975"
"197",17,4071522,4071522,"*",4.24508195240483e-05,8.5805553866245e-05,43.561872909699,4133270,"ENSMUSG00000116975"
"198",17,4071945,4071945,"*",8.31776634268367e-07,2.79870271035267e-06,29.7696603071196,4133270,"ENSMUSG00000116975"
"199",17,4072217,4072217,"*",8.53539188606203e-05,0.000156322525171032,25.5502392344498,4133270,"ENSMUSG00000116975"
"200",17,4072218,4072218,"*",6.60099227569579e-09,3.81016802816588e-08,29.0168481610849,4133270,"ENSMUSG00000116975"
"201",17,4072418,4072418,"*",9.92459201898291e-09,5.48560868731251e-08,28.1153336279275,4133270,"ENSMUSG00000116975"
"204",17,4072747,4072747,"*",2.0019955326518e-06,6.0096145332504e-06,28.1469042056075,4133270,"ENSMUSG00000116975"
"206",17,4072752,4072752,"*",1.13609743250726e-10,9.62094458119422e-10,29.8275796876772,4133270,"ENSMUSG00000116975"
"207",17,4072921,4072921,"*",2.51222805406877e-06,7.34807591699245e-06,27.6505513146735,4133270,"ENSMUSG00000116975"
"208",17,4072922,4072922,"*",1.99390836054002e-05,4.45370005133267e-05,40.9090909090909,4133270,"ENSMUSG00000116975"
"210",17,4073098,4073098,"*",1.23380814787465e-12,1.58544159049212e-11,35.1379892987891,4133270,"ENSMUSG00000116975"
"211",17,4073160,4073160,"*",2.52635704489491e-06,7.38745140042294e-06,33.2674098046266,4133270,"ENSMUSG00000116975"
"215",17,4073410,4073410,"*",0.000638047501548729,0.000877072770166703,29.0014333492594,4133270,"ENSMUSG00000116975"
"235",17,4135643,4135643,"*",7.29206045224177e-10,5.18433056848635e-09,45.7150473144076,4133270,"ENSMUSG00000116975"
"236",17,4135670,4135670,"*",4.51120544830565e-05,9.0327567156898e-05,31.447963800905,4133270,"ENSMUSG00000116975"
"237",17,4135677,4135677,"*",1.65122987615233e-06,5.10043398950362e-06,33.6597307221542,4133270,"ENSMUSG00000116975"
"241",17,4136067,4136067,"*",0.000522586662507757,0.000738803933931152,27.2604753736829,4133270,"ENSMUSG00000116975"
"248",17,4255693,4255693,"*",0.000180921329210729,0.000298262138617106,29.8683074265976,4172377,"ENSMUSG00000116615"
"250",17,4255918,4255918,"*",8.7422574170296e-09,4.89314037058577e-08,34.1483011937557,4172377,"ENSMUSG00000116615"
"251",17,4255964,4255964,"*",3.53695513839723e-10,2.69633479260972e-09,45.2575011195701,4172377,"ENSMUSG00000116615"
"252",17,4256028,4256028,"*",0.000176109327111586,0.000291324353505106,31.9098644815632,4172377,"ENSMUSG00000116615"
"253",17,4306249,4306249,"*",3.59378609298065e-07,1.3398600883537e-06,29.0284585280596,4172377,"ENSMUSG00000116615"
"254",17,4306295,4306295,"*",0.000186420264070176,0.000305778008453022,48.0907329305825,4172377,"ENSMUSG00000116615"
"255",17,4306359,4306359,"*",0.00041580136701982,0.000605614929921169,26.9076305220884,4172377,"ENSMUSG00000116615"
"256",17,4380684,4380684,"*",3.1850882878896e-14,5.64483609825203e-13,45.1782034185962,4172377,"ENSMUSG00000116615"
"257",17,4380777,4380777,"*",4.41179624912047e-09,2.65587421630189e-08,37.1780303030303,4172377,"ENSMUSG00000116615"
"258",17,4380833,4380833,"*",5.34473962002268e-06,1.41597721037206e-05,29.0845330380214,4172377,"ENSMUSG00000116615"
"261",17,4393463,4393463,"*",1.45411938853099e-07,5.97212648737272e-07,38.7488328664799,4172377,"ENSMUSG00000116615"
"268",17,4394659,4394659,"*",0.000285094812089081,0.000440310368293067,34.1716785128485,4172377,"ENSMUSG00000116615"
"269",17,4394660,4394660,"*",0.000199286451650028,0.000323688846638449,29.0304891423558,4172377,"ENSMUSG00000116615"
"270",17,4394795,4394795,"*",1.77599135679394e-09,1.17235400123366e-08,30.8879762073361,4172377,"ENSMUSG00000116615"
"273",17,4395322,4395322,"*",1.45046233833508e-05,3.39198745052076e-05,36.520979020979,4172377,"ENSMUSG00000116615"
"275",17,4395547,4395547,"*",0.000103875496501834,0.000184745720629447,36.2841530054645,4172377,"ENSMUSG00000116615"
"276",17,4395548,4395548,"*",3.64840347045007e-05,7.52415245071793e-05,32.1764705882353,4172377,"ENSMUSG00000116615"
"279",17,4396121,4396121,"*",0.00037070976805291,0.00055021251773893,27.7929387685485,4172377,"ENSMUSG00000116615"
"283",17,4396624,4396624,"*",0.000172841599145596,0.000286990297049748,36.3317757009346,4172377,"ENSMUSG00000116615"
"285",17,4396723,4396723,"*",1.76758896065186e-05,4.02612161827851e-05,31.1677631578947,4172377,"ENSMUSG00000116615"
"289",17,4397054,4397054,"*",1.12082330450923e-06,3.63863094348642e-06,27.9406307977737,4172377,"ENSMUSG00000116615"
"291",17,4397112,4397112,"*",6.50272196610486e-10,4.67414763223073e-09,34.5370147094285,4172377,"ENSMUSG00000116615"
"292",17,4397144,4397144,"*",2.00318882765207e-06,6.0115674296272e-06,28.2387409382865,4172377,"ENSMUSG00000116615"
"293",17,4397190,4397190,"*",2.14097523877029e-07,8.43346810578613e-07,36.3880316651013,4172377,"ENSMUSG00000116615"
"295",17,4397396,4397396,"*",1.52172257105349e-05,3.53516032310668e-05,29.6187683284457,4172377,"ENSMUSG00000116615"
"298",17,4397770,4397770,"*",8.47552639359202e-05,0.000155380258042221,32.0833333333333,4172377,"ENSMUSG00000116615"
"301",17,4398039,4398039,"*",5.80388257470403e-06,1.51980590786347e-05,28.7256122872561,4172377,"ENSMUSG00000116615"
"310",17,4637886,4637886,"*",1.01546082218758e-07,4.33279720908749e-07,34.9047517123288,4685253,"ENSMUSG00000116767"
"311",17,4637954,4637954,"*",2.7880485971808e-09,1.76369738924349e-08,36.5495175723641,4685253,"ENSMUSG00000116767"
"312",17,4637955,4637955,"*",0.000665517009435796,0.000907512436206483,28.9383343928798,4685253,"ENSMUSG00000116767"
"315",17,4638324,4638324,"*",5.14083180121176e-09,3.05162830153324e-08,36.6966966966967,4685253,"ENSMUSG00000116767"
"323",17,4638488,4638488,"*",2.98775257908253e-07,1.1345354734182e-06,29.1340225302489,4685253,"ENSMUSG00000116767"
"329",17,4903450,4903450,"*",0.000432226552806936,0.000626736245814163,31.6004672897196,4904757,"ENSMUSG00000116813"
"332",17,4903507,4903507,"*",0.000410884803026584,0.000599873771217551,34.1715022566086,4904757,"ENSMUSG00000116813"
"335",17,4931376,4931376,"*",0.0002850009191716,0.000440226738105112,37.7293181031499,4930901,"ENSMUSG00000116620"
"336",17,4931408,4931408,"*",2.40639610405304e-09,1.54074544084529e-08,58.968058968059,4930901,"ENSMUSG00000116620"
"337",17,4931409,4931409,"*",1.09125566402221e-05,2.63114873401285e-05,41.8300653594771,4930901,"ENSMUSG00000116620"
"338",17,4931453,4931453,"*",1.7676966080095e-09,1.1689684660156e-08,59.5533498759305,4930901,"ENSMUSG00000116620"
"339",17,4931454,4931454,"*",1.62676974421838e-06,5.04034099696807e-06,44.7826086956522,4930901,"ENSMUSG00000116620"
"341",17,4931473,4931473,"*",0.000136914188592583,0.000234543086130589,40.6831119544592,4930901,"ENSMUSG00000116620"
"347",17,5430331,5430331,"*",0.000272515232542557,0.00042445475610576,27.1995399654974,5439038,"ENSMUSG00000101133"
"349",17,5431844,5431844,"*",8.44868133713173e-06,2.10725957272522e-05,39.0883190883191,5439038,"ENSMUSG00000101133"
"350",17,5431845,5431845,"*",4.6091075639892e-07,1.66896506147122e-06,49.2233009708738,5439038,"ENSMUSG00000101133"
"357",17,5513784,5513784,"*",0.000408673820132546,0.000597433276631685,31.3725490196078,5533239,"ENSMUSG00000116691"
"358",17,5513785,5513785,"*",0.000658930160001612,0.000899748896779045,43.5897435897436,5533239,"ENSMUSG00000116691"
"360",17,5530744,5530744,"*",1.25836839476946e-11,1.30755653605192e-10,54.4444444444444,5533239,"ENSMUSG00000116691"
"374",17,5712208,5712208,"*",0.000692060966730668,0.000938968964051488,31.8055555555556,5848932,"ENSMUSG00000096965"
"375",17,5712272,5712272,"*",1.82063137193093e-08,9.34069643825233e-08,43.7984496124031,5848932,"ENSMUSG00000096965"
"382",17,5713196,5713196,"*",0.000648181248685125,0.000887917477843135,35.911052107534,5848932,"ENSMUSG00000096965"
"385",17,5713572,5713572,"*",3.83955441907453e-05,7.86564490759601e-05,41.6914577135572,5848932,"ENSMUSG00000096965"
"392",17,5824736,5824736,"*",9.50294073950386e-09,5.27096138723946e-08,51.5350877192982,5848932,"ENSMUSG00000096965"
"402",17,5827047,5827047,"*",1.49152740692443e-06,4.66963879100238e-06,35.7843137254902,5848932,"ENSMUSG00000096965"
"403",17,5827048,5827048,"*",4.78365228284279e-06,1.2864575871982e-05,42,5848932,"ENSMUSG00000096965"
"404",17,5827051,5827051,"*",1.01581550049658e-06,3.34081657225627e-06,37.0713119216113,5848932,"ENSMUSG00000096965"
"415",17,5828116,5828116,"*",0.000186695358195688,0.000306138567368019,28.790108919635,5848932,"ENSMUSG00000096965"
"423",17,5840057,5840057,"*",3.61738342747199e-11,3.4246686760756e-10,29.8474106623782,5848932,"ENSMUSG00000096965"
"424",17,5840058,5840058,"*",4.08330875092256e-15,8.46994989178617e-14,37.3078961314255,5848932,"ENSMUSG00000096965"
"425",17,5840097,5840097,"*",5.84003709602338e-10,4.24463662822615e-09,30.0805705983358,5848932,"ENSMUSG00000096965"
"426",17,5840098,5840098,"*",3.68732681169461e-07,1.37196387220876e-06,25.9528193725463,5848932,"ENSMUSG00000096965"
"428",17,5840248,5840248,"*",5.02215839280367e-07,1.80145323581717e-06,33.2236842105263,5848932,"ENSMUSG00000096965"
"429",17,5840294,5840294,"*",5.40254769027284e-08,2.45255446960245e-07,46.141259885465,5848932,"ENSMUSG00000096965"
"430",17,5840327,5840327,"*",9.20760427717024e-05,0.000166840748223453,35.3122326775021,5848932,"ENSMUSG00000096965"
"432",17,6021571,6021571,"*",6.9855530435791e-05,0.000131392059209252,40,5991555,"ENSMUSG00000023805"
"435",17,6021799,6021799,"*",6.61580465297718e-08,2.95369595023902e-07,25.7397084048027,5991555,"ENSMUSG00000023805"
"436",17,6021800,6021800,"*",5.48022083105081e-17,1.58079922179179e-15,28.3100488313692,5991555,"ENSMUSG00000023805"
"438",17,6021831,6021831,"*",6.06220535441704e-15,1.21427035161943e-13,26.9599115610636,5991555,"ENSMUSG00000023805"
"446",17,6022368,6022368,"*",4.46169129792798e-07,1.62408009897777e-06,28.8198757763975,5991555,"ENSMUSG00000023805"
"447",17,6022411,6022411,"*",2.14345624071685e-05,4.73994681476409e-05,28.9238344051447,5991555,"ENSMUSG00000023805"
"449",17,6151579,6151579,"*",8.64854464067476e-06,2.14888337493527e-05,29.1496510726286,6156712,"ENSMUSG00000034377"
"450",17,6151750,6151750,"*",2.33598586946898e-05,5.11464400193421e-05,29.7267587939699,6156712,"ENSMUSG00000034377"
"465",17,6398788,6398788,"*",7.73734175053342e-05,0.000143389847359338,32.2966507177034,6405801,"ENSMUSG00000116921"
"466",17,6398837,6398837,"*",4.74337452009791e-13,6.67609583990247e-12,33.7622061103894,6405801,"ENSMUSG00000116921"
"467",17,6398838,6398838,"*",7.976947732405e-07,2.69384610365037e-06,36.9801810058426,6405801,"ENSMUSG00000116921"
"468",17,6398845,6398845,"*",1.50324913246117e-12,1.8857327209397e-11,27.1535718224935,6405801,"ENSMUSG00000116921"
"469",17,6398846,6398846,"*",3.98368653735269e-12,4.56319010933396e-11,31.7981072555205,6405801,"ENSMUSG00000116921"
"478",17,6398939,6398939,"*",1.33148108491581e-22,8.10351596109449e-21,28.8223689853332,6405801,"ENSMUSG00000116921"
"479",17,6398940,6398940,"*",7.25921405423244e-22,4.00040004932855e-20,32.3698041089346,6405801,"ENSMUSG00000116921"
"481",17,6399031,6399031,"*",1.20318594563623e-21,6.37670524622843e-20,29.2740297230835,6405801,"ENSMUSG00000116921"
"483",17,6399036,6399036,"*",1.86542956506182e-21,9.6555042840096e-20,32.7324828988722,6405801,"ENSMUSG00000116921"
"484",17,6399043,6399043,"*",2.53662113720917e-16,6.41492192725079e-15,31.7957133818412,6405801,"ENSMUSG00000116921"
"485",17,6399044,6399044,"*",8.70354831801062e-24,6.47023351443558e-22,34.2488344410277,6405801,"ENSMUSG00000116921"
"486",17,6399053,6399053,"*",4.52891781075764e-15,9.3071251287164e-14,37.349269926039,6405801,"ENSMUSG00000116921"
"487",17,6399054,6399054,"*",2.56019207280627e-25,2.21550358704449e-23,36.5519040166927,6405801,"ENSMUSG00000116921"
"489",17,6399104,6399104,"*",4.69881272345824e-19,1.83912640255649e-17,32.4237737516571,6405801,"ENSMUSG00000116921"
"494",17,6399152,6399152,"*",1.20816772107951e-09,8.22525847034592e-09,36.1063122923588,6405801,"ENSMUSG00000116921"
"496",17,6399163,6399163,"*",6.09878404726667e-11,5.47885816474581e-10,54.6387682589814,6405801,"ENSMUSG00000116921"
"497",17,6399164,6399164,"*",2.9907959888525e-14,5.33463939720514e-13,31.7927927927928,6405801,"ENSMUSG00000116921"
"498",17,6399170,6399170,"*",1.43348943175056e-08,7.58276674549802e-08,43.9735702893598,6405801,"ENSMUSG00000116921"
"499",17,6399171,6399171,"*",8.66172581815884e-19,3.25231269932767e-17,34.4486531986532,6405801,"ENSMUSG00000116921"
"500",17,6399179,6399179,"*",2.57265484754178e-09,1.63678875171911e-08,33.4829157175399,6405801,"ENSMUSG00000116921"
"501",17,6399186,6399186,"*",0.000314805000861941,0.000478588583481255,30.5769230769231,6405801,"ENSMUSG00000116921"
"502",17,6399193,6399193,"*",9.61643377395574e-17,2.68307873318823e-15,31.6242661448141,6405801,"ENSMUSG00000116921"
"503",17,6399202,6399202,"*",2.22052443170775e-09,1.43836572013425e-08,30.5431036424661,6405801,"ENSMUSG00000116921"
"504",17,6399211,6399211,"*",5.50321564258125e-23,3.60694653513207e-21,43.5248800486563,6405801,"ENSMUSG00000116921"
"506",17,6399230,6399230,"*",2.58779390540885e-13,3.82189103612135e-12,41.6046011254551,6405801,"ENSMUSG00000116921"
"507",17,6399263,6399263,"*",8.9952608081026e-08,3.88602524467722e-07,32.4839188520534,6405801,"ENSMUSG00000116921"
"508",17,6399264,6399264,"*",8.60964576969797e-23,5.41854262734427e-21,39.3256333830104,6405801,"ENSMUSG00000116921"
"510",17,6399271,6399271,"*",3.18746637098079e-18,1.09647723278957e-16,34.642276190748,6405801,"ENSMUSG00000116921"
"512",17,6399293,6399293,"*",4.30217639094249e-08,2.00631514458889e-07,25.4990925589837,6405801,"ENSMUSG00000116921"
"513",17,6399406,6399406,"*",2.44841785625834e-21,1.25557212580904e-19,37.691957683995,6405801,"ENSMUSG00000116921"
"515",17,6399434,6399434,"*",1.23017803966592e-10,1.0283997689143e-09,28.5454545454546,6405801,"ENSMUSG00000116921"
"516",17,6399513,6399513,"*",3.38184089982499e-05,7.05719530653348e-05,38.8091980403407,6405801,"ENSMUSG00000116921"
"517",17,6399548,6399548,"*",2.55481199668306e-06,7.45295035439109e-06,29.1164658634538,6405801,"ENSMUSG00000116921"
"518",17,6399549,6399549,"*",3.44370533430676e-15,7.26568488688432e-14,37.5708302537571,6405801,"ENSMUSG00000116921"
"524",17,6838633,6838633,"*",9.25466104806025e-24,6.83406550034647e-22,68.9196720006369,6850102,"ENSMUSG00000116868"
"525",17,6838646,6838646,"*",9.88242854729157e-06,2.41188575605596e-05,56.8044961862706,6850102,"ENSMUSG00000116868"
"526",17,6838726,6838726,"*",1.92504606187991e-07,7.68124367263784e-07,35.7528641571195,6850102,"ENSMUSG00000116868"
"527",17,6838728,6838728,"*",1.06636009648436e-11,1.1174774719035e-10,45.0653120464441,6850102,"ENSMUSG00000116868"
"528",17,6838786,6838786,"*",6.36878829172127e-11,5.67661444321024e-10,56.6641846612063,6850102,"ENSMUSG00000116868"
"529",17,6838792,6838792,"*",3.0861523514882e-08,1.49211450137479e-07,63.1398013750955,6850102,"ENSMUSG00000116868"
"531",17,6844725,6844725,"*",7.79506987552107e-07,2.63724948474896e-06,51.8709677419355,6850102,"ENSMUSG00000116868"
